job_id,job_title,company_name,job_location,job_description,work_rights_requirement,contact_email,job_url,salary_range
521869,Senior Cyber Security Analyst,The University of Western Australia,Crawley,"Senior Cyber Security Analyst
Job no: 521869
Work type: Full Time
Location: Crawley
Categories: Information Technology

Protect university systems and data, ensuring a secure digital environment for students and staff.
Engage in advanced threat detection, vulnerability management, and cutting-edge cybersecurity practices.
Full-time appointment on an ongoing basis.
Base salary range: $116,262 – $127,078 p.a. plus 17% superannuation.
About the area

UWA Technology serves as a strategic enabler of teaching, learning, research, and administrative excellence. It provides the technological infrastructure, digital tools, and support services necessary to foster innovation, collaboration, and efficiency across the institution. By ensuring the reliability, security, and accessibility of education technology, research systems, and professional services platforms, IT enhances the overall experience for students, faculty, researchers, and staff. The function also drives digital transformation, supports data-driven decision-making, and ensures compliance with regulatory and cybersecurity standards. Ultimately, IT plays a critical role in advancing the university's mission by leveraging technology to create a connected, efficient, and future-ready academic environment.

About the opportunity

UWA Technology enables teaching, research, and administration by providing secure, reliable, and innovative digital infrastructure and services.
The Cyber Security Operations role focuses on monitoring, analyzing, and responding to threats, conducting proactive threat hunting, and managing vulnerabilities.
Responsibilities include incident response, malware analysis, collaboration with IT teams, and maintaining awareness of evolving cyber threats.
About you

Relevant tertiary qualification or equivalent work experience in information or cyber security.
Demonstrated experience in security operations, including monitoring, analysis, and incident response.
Familiarity with Microsoft Sentinel or other SIEM platforms, including the ability to write or modify simple detection queries.
Experience with Microsoft Defender or similar endpoint protection and response technologies.
Broad understanding of infrastructure, platform, and cloud technologies.
Note: A current National Police Clearance Certificate will be required by the successful applicant.

Position description:  PD [Senior Cyber Security Analyst] [521869].pdf

To learn more about this opportunity, please contact Tony Zhao at tony.zhao@uwa.edu.au

How to apply

Please apply online via the Apply Now button. The content of your Resume and Cover Letter should demonstrate how you meet the selection criteria.

Closing date: 11:55 PM AWST on Sunday, 4 January 2026

This position is only open to applicants with relevant rights to work in Australia. 

About the University

The University of Western Australia (UWA) is ranked among the top 100 universities in the world and a member of the prestigious Australian Group of Eight research intensive universities. With a strong research track record, vibrant campus and working environments, there is no better time to join Western Australia’s top university.

Learn more about us.

Our commitment to inclusion and diversity

UWA is committed to a diverse workforce and an equitable and inclusive workplace. We are committed to fostering a safe environment for all, including Aboriginal and Torres Strait Islander people, women, those from culturally and linguistically diverse backgrounds, the LGBTIQA+ community, and people living with disability.

If you require any reasonable adjustments, we encourage you to advise us at the time of application. Alternatively, you can contact us for assistance during the recruitment process.



If you have queries relating to your application, please contact the individual named in the advertisement. Alternatively, please contact the Talent team at people@uwa.edu.au with details of your query. To enable a quick response, please include the 6-digit job reference number.

Advertised: 02 Dec 2025 W. Australia Standard Time
Applications close: 04 Jan 2026 W. Australia Standard Time",This position is only open to applicants with relevant rights to work in Australia,tony.zhao@uwa.edu.au,https://external.jobs.uwa.edu.au/en/job/521869/senior-cyber-security-analyst,116262-127078
N/A,Software Engineer,PassMark Software Pty Ltd,"Surry Hills, Sydney NSW","Software Engineer

PassMark Software Pty Ltd 
View all jobs

Surry Hills, Sydney NSW
Developers/Programmers (Information & Communication Technology)
Full time
$110,000 – $140,000 per year
Posted 18d ago
•
High application volume


Analyse your fit
Beta
We're hiring a Software Engineer at the mid-level. Strong juniors will also be considered if you've demonstrated good fundamentals and the ability to work with low-level APIs.

Responsibilities
C/C++ on Windows (Win32 API)

Native functionality, UI, and system integration

Platform-specific implementations with minimal, well-defined boundaries

Debugging, profiling, performance optimization

Multi-platform delivery (Windows, macOS, Linux, iOS, Android)

Required Skills
Strong C and C++ programming ability

TypeScript and JavaScript with Node.js for tooling

Windows development with the Win32 API

Debugging and problem-solving in native and web based environments

Writing clear, maintainable, and minimal code

Nice to Have
Linux/macOS native development

iOS (Objective-C, Swift) or Android (NDK, JNI)

Graphics APIs (DirectX, Vulkan)

Database and server-side (MySQL, PHP)

Build systems (CMake, MSBuild, Make)

Who We're Looking For
Mid-level engineer with 3-5 years of professional C/C++ development experience

OR junior with 1-2 years experience plus solid fundamentals and relevant projects/internships

Engineer who values simplicity, clarity, and well-structured native code

Bachelor's degree in Computer Science, Software Engineering, or equivalent experience

Australian citizenship or permanent residency, or valid work visa for Australia",,,https://www.seek.com.au/job/88788968?type=standard&ref=search-standalone&origin=cardTitle#sol=1eaa45e282ace6fdde2cb24ba101298564234fc0,110000-140000
N/A,Software Development Engineer in Test Project Intern (Data Trust and Safety),TikTok,Sydney NSW,"Responsibilities About the Team Our platforms receive and distribute a large amount of content produced by users around the world all the time, and it is critical and challenging to identify and filter the risks and harms. The construction of the content security system is to meet this challenge, protect user content, and create a healthy content sharing environment for users around the world. Our team is responsible for building outstanding platforms for content security systems with high quality, excellent usability and great capability. With the continuous efforts from our team, our platforms are able to provide the best user experience and bring joy to everyone in the world. As a project intern, you will have the opportunity to engage in impactful short-term projects that provide you with a glimpse of professional real-world experience. You will gain practical skills through on-the-job learning in a fast-paced work environment and develop a deeper understanding of your career interests. Applications will be reviewed on a rolling basis we encourage you to apply early. Successful candidates must be able to commit to at least 3 months long internship period. Online Assessment Candidates who pass resume screening will be invited to participate in TikTok's technical online assessment. Responsibilities Manage the quality assurance of Trust and Safety products; Actively involve in the product development process and coordinate with various roles to continuously deliver high-quality products; Improve product quality and efficiency through technical means such as tool platform development, automated testing and performance testing; Prospective technology research and application, applying appropriate technology to improve business quality. Qualifications Minimum Qualification(s): Currently pursuing a Degree in Software Development, Computer Science, Computer Engineering, or a related technical discipline; Good computing foundation, highly proficient in at least one of the programming languages: Python, Java, Go, C/C++ Solid data structure and algorithm foundation Good logical thinking and team communication skills Preferred Qualification(s): Passion for computer science and internet technology, strong interest in software quality assurance If you have any questions, please reach out to us at apac-earlycareers@tiktok.com.",, apac-earlycareers@tiktok.com,https://www.seek.com.au/job/88819377?type=standard&ref=search-standalone&origin=cardTitle#sol=8bcb062d344d7fc8a4610dfef630268300aef587,
N/A,Junior Software Engineer / Internship,,Brisbane QLD (Hybrid),"Junior Software Engineer / Internship Simulation-Based Robotics About us We are an early-stage Australian tech venture developing a number of emerging robotic and human augmentation technologies for socially responsible and high-demand sectors in Australia. We are a small but strong and experienced team, combining diverse backgrounds and global expertise in software and hardware, AI, and systems integration across industries. Fully backed by private venture capital, we are finalising our corporate structure while preparing for an ambitious expansion into several relevant business areas. We want to engage the right candidate early, so that when we go full-scale we already have the efficient team in place to move fast. One of our missions is to help advance modern robotics adoption across Australian businesses in a cost-effective and scalable way. We leverage advanced physics-aware AI and software-defined simulation technologies, combined with affordable robotic hardware platforms, to go beyond trivial robotic engagement scenarios toward real commercial applications. By focusing on software-defined training and optimising the software stack, we accelerate the deployment of new-generation robotic solutions across key business areas, while lowering overall solution costs. We are a socially responsible team, and want not only to generate revenue streams, but also make a meaningful impact on local communities, industries, and progress across Australia and globally. About the role We are looking for a motivated junior software engineer or intern with the ability to work on modern simulation-based robotics, with a focus on perception, simulation, and embodied AI. You will apply your existing skills while acquiring new domain knowledge and helping us bring the technology to life. In this role, you will: Contribute to software development across our simulation and robotics pipelines; Collaborate tightly with senior software and hardware engineering teams; Work on perception and SLAM software pipelines, including environment capture, photogrammetry, and digital twinning, together with the hardware team; Work on motion capture and skeletal kinematic reconstruction, together with the hardware team; Assist with embodied AI pipelines, including policy learning and hybrid model predictive control / whole-body control using modern optimisation frameworks, together with the hardware team; Actively participate in regular reviews, demos, and technical discussions. About you We are looking for someone who is intellectually and technically curious, strategically minded, and thrives in a collaborative and agile startup environment. To be successful in this position, you will have: Foundational experience and/or strong academic records in one or more of the relevant fields mentioned above, especially in perception, SLAM, robotics simulation, or embodied-AI/policy learning; Strong ability to navigate uncertainty and communicate creative solutions to complex problems; Foundational experience with modern frameworks and mainstream languages, such as Python, C/C++, Go, or Rust; Foundational experience with scientific or engineering numerical simulation environments, such as MATLAB/Simulink, ANSYS, COMSOL, SolidWorks, Inventor, or others; A self-starter attitude with strong analytical, creative, and planning skills; The ability to work autonomously as part of a small but highly technical and agile team. Any of the following skills will be a strong advantage: Familiarity with generic simulation platforms, such as MATLAB/Simulink; Familiarity with specialised robotics frameworks and platforms, such as ROS/2, MuJoCo, OCS2, or Isaac Sim; Familiarity with modern CV, photogrammetry, perception, and SLAM frameworks, including PyTorch, OpenCV, AliceVision, or TensorFlow; Familiarity with embodied-AI approaches, including policy learning, model predictive control, and whole-body control frameworks; Familiarity with skeletons and rigging for gaming and video production, including inverse kinematics and motion-capture pipelines; Familiarity with 3D game engines, such as Unreal Engine C++; Familiarity with cloud computing platforms and data processing pipelines, including AWS, GCP, or Azure; Fluency in one or more foreign languages. Other than these specific areas of robotics, you may have prior experience from industry or academia in one of the following adjacent areas: Real-time 3D game engineering and physics engines, motion capture, or skeletal modelling; Mechanical and scientific simulations, including CFD, FEM, multi-body dynamics, or thermodynamics; Machine learning pipelines or large-scale data processing. About our offer We want to provide our most valuable asset, people, with a working environment that is both professionally and personally rewarding. We offer competitive compensation, internship support, and opportunities for growth. We welcome people from diverse backgrounds, provided they bring exceptional capability, fit our team culture, and add to it in a fast startup environment. While we are launching in Australia initially from Brisbane and Adelaide, we are also open to hybrid or remote working arrangements for talented candidates based anywhere in Australia, as long as they can be onsite for joint work with the software and hardware teams when needed. Next steps If this opportunity aligns with your professional skills and resonates with your personal interests, please submit your cover letter and resume . Otherwise, if this role isn't the right fit but your background may support our mission, we encourage you to explore our other open roles at https://asterrobotics.com.au/jobs or share this opportunity with someone who could be a good match. Thank you!",,,https://www.seek.com.au/job/89045716?type=standard&ref=search-standalone&origin=cardTitle#sol=83017ee2ab05ebb584d57194f952dacf0f2b9239,60000-90000
N/A,Senior Software Engineer,MSKeen Consulting ,Canberra ACT,"Federal Government Role Must have minimum NV1 clearance Attractive rates + full client fee disclosed ACT based role with remote work arrangement options considered We are currently looking for enthusiastic and experienced individuals for one of our clients in Canberra to join as a Senior Software Engineer. As a Senior Software Engineer, you must have experience overseeing software development projects, writing optimised code, and provide technical leadership to a team of software engineers. You will be responsible for the quality and functionality of the software produced by their team. The ideal candidate will be responsible for: Developing, maintaining, enhancing modern web interfaces using React and TypeScript, translating designs and wireframes into high quality code and optimising components for maximum performance across a vast array of web capable devices and browsers. Working closely with backend developers (Java) to integrate application programming interfaces (API's) and data pipelines. Driving UI/UX improvements and ensure high standards of usability and performance. Mentoring junior developers and contribute to technical decisions and best practices. Participating in code reviews, continuous integration and continuous delivery (CI/CD) implementation, and agile ceremonies. Mandatory Skills & Experience: 5+ years working as a software engineer in the ICT industry with expertise in JavaScript and User Interface (UI) frameworks, particularly React and TypeScript and component-based architecture. Experience with Git, Continuous Integration and Continuous Delivery (CI/CD) pipelines, testing frameworks, particularly Jest. Strong understanding of responsive design, performance optimisation, and user experience (UX) principles, including experience creating user interface (UI) and working directly with UI/UX designers on UI's. Ability to understand business requirements and translate them into technical requirements. Experience working directly with UI/UX designers on creating UI. Excellent communication and stakeholder engagement skills. Experience with agile working and test-driven development, including use of Git and JIRA. The candidate must have exceptional communication skills who can lean into complex conversations and offer technical solutions that creates buy-in from stakeholders with varying technical and non-technical backgrounds. If you are looking for a change and might be interested in applying, please get in touch with Manni at enquiries@vlinked.com.au for more details. Please ensure that you provide your CV in word format outlining the skills and experience. Employer questions Your application will include the following questions: Which of the following statements best describes your right to work in Australia? How many years' experience do you have in a software development role? How many years' experience do you have in the IT industry? Which of the following programming languages are you experienced in? Do you hold Australian Security Clearance? Do you have experience working with user experience and/or interaction designers as part of the software development process?",,,https://www.seek.com.au/job/88937727?type=promoted&ref=search-standalone&origin=cardTitle#sol=56b1d2fd511f5061f2a95ae021b141d02d914fae,130 – 160 per hour
N/A,Software Engineer (Developer),ContractRoll Pty Ltd,Canberra ACT (Hybrid),"Title: Software Engineer (Developer) Role Type: Contract Contract End Date: January 2029 One of our Federal Government department is seeking multiple Software Engineer (Developers) who will play a pivotal role in designing a suite of Mission critical systems and services for the department. The responsible branch will sit within the Digital; Business Division of the Federal Department. The division consolidates digital functions from across the department to deliver best-in-class digital and data products. The division is responsible for mission-critical systems supporting Australia’s biosecurity, cargo, science, and regulatory operations. This includes remediating defects when required, configuring applications to implement infrastructure upgrades and developing new capabilities to meet changing policy and legislation needs. We are looking for full stack developers that can work across multiple technology stacks to deliver outcomes that support the risk management of imported goods into Australia. Your primary focus will be on developing user interface components and implementing with well-known patterns and libraries such as Material-UI. You will ensure that these components and the overall application are robust and easy to maintain. You will coordinate with the rest of the team working on different layers of the infrastructure and contribute on the backend business logic. Therefore, a commitment to collaborative problem solving, sophisticated design, and quality product is important. Key Duties and Responsibilities: The role will be responsible for, but not limited to: Lead the design, development, and customisation of applications to meet business requirements. Continuously optimise existing solutions for performance, scalability, and maintainability. Design and implement seamless integrations between new or existing applications, other systems and cloud services. Provide technical leadership and mentorship to junior developers, guiding them in best practices and efficient development methodologies. Collaborate with cross-functional teams to understand business needs and ensure technology solutions align with organisational goals. Effectively work in a multi-disciplinary team with an ability to communicate in plain language about technology. Maintain comprehensive documentation of application architectures, designs, and development processes. Specified Personnel may be required to perform other duties, within the scope of the engagement, as reasonably directed by the department. Skills and Capabilities: Substantial experience in .Net and or .Net Core e.g., Restful API Development. Proficiency in programming languages such as C#, JavaScript, and PowerShell. Experience with front-end frameworks such as React, JavaScript, TypeScript, and Next.js Experience in modern Single Page App development; preferably with React 16.8+. Experience with Material-UI and design systems generally. Experience with Visual Studio and VS Code. Familiarity with CI/CD and version control systems e.g., Microsoft Azure DevOps, and GIT. Experience with DevOps practices and CI/CD pipelines. Experience in the use and development of RDMS solutions e.g., Microsoft SQL Server Strong knowledge of database design and SQL. Experience with cloud application development using platforms like Microsoft Azure, Amazon Web Services (AWS), or Google Cloud. Ability to understand business requirements and translate them into technical requirements. Be proficient in unit test development and unit testing practices. Experience working in an agile team with agile practices e.g. SCRUM. Strong collaborative attributes with a proactive approach to sharing knowledge amongst peers. Excellent problem-solving and analytical skills. Effective communication and teamwork abilities. Experience in delivering projects on time and to a high-quality standard. Desirable Qualifications: Bachelor’s degree or greater in relevant field is desirable but not mandatory. Working Arrangements: Hybrid - All Specified Personnel are required to attend the office at least two days per month. This is a mandatory requirement. Some business areas may require more frequent attendance due to operational needs. Specified Personnel are expected to comply with any reasonable request to attend more regularly. The department's Change Management Team plays a critical role in supporting the department to prepare, adopt, and embrace transformation through the Indigo Program – a complex, multi-stream initiative designed to modernise systems, processes, and service delivery across the agency. Additional requirements The candidate must hold an active Baseline security clearance prior to commencement. Provide Security Clearance Number or application number. A one-page pitch addressing the selection criteria. This should not exceed one page. Selection Criteria The buyer has specified that each candidate must provide a one page pitch to address all criteria specified below. This is equal to 5000 characters. The criteria's are: Demonstrated experience in the delivery of complex large-scale applications using front-end technology stacks such as: o Reactive frontend frameworks with the preference being React experience. Experience in Vue or Angular will also be considered o Modern JavaScript frameworks o Typescript Demonstrated experience in the delivery of complex large-scale applications using back-end technology stacks including: o   Microsoft Web API o   .Net Core o   C#, Restful API Development. o   Object oriented design practices Working knowledge with relational database tools like SQL Server, Including: o   Strong SQL development experience o   Database and performance optimization o   SQL query performance optimization Experience with CI/CD and version control systems Microsoft Azure DevOps, and GIT. Strong analytical and problem-solving skills with a flair for creating innovative solutions. Experience working in an Agile software development environment and experience using Agile development toolset. Strong collaborative attributes with a proactive approach to sharing knowledge amongst peers. Location: ACT, QLD, VIC, NSW Working arrangements: Hybrid - All Specified Personnel are required to attend the office at least two days per month. This is a mandatory requirement. Some business areas may require more frequent attendance due to operational needs. Specified Personnel are expected to comply with any reasonable request to attend more regularly. About us: ContractRoll is a boutique recruitment firm based in the ACT that aims to provide suitable contracting resources to the Federal government departments and leading private agencies.",,,https://www.seek.com.au/job/88843673?type=promoted&ref=search-standalone&origin=jobCard#sol=0c36cf16329c40f1440dc650abf7a99fcf980db1 ,
N/A,Junior Software Developer,Daelibs Pty Ltd,Brisbane QLD,"About Us: Daelibs is an award winning IoT company delivering solutions for over 25 years. We pride ourselves on producing industry leading technology, backed with excellent customer service. Our core business delivers mobile SaaS solutions to facilities and public spaces operating throughout Asia Pacific. About the Role: We are looking for a Junior Software Developer to join our growing development team. In this role, you will contribute to the enhancement and maintenance of our customer portals, mobile applications, and cloud-based infrastructure. You’ll help support systems that continuously ingest a high-velocity stream of over one million data points per hour from tens of thousands of IoT sensors—technology that enables automated, real-time responses to environmental and operational events. Working alongside experienced developers, you will gain hands-on exposure to scalable architectures, modern development practices, and the end-to-end lifecycle of our SaaS solutions. Key Responsibilities Develop and maintain features within our web and mobile platforms Work with APIs, databases, and cloud services that support large-scale IoT data ingestion Contribute to code reviews, documentation, and testing Collaborate with senior developers to troubleshoot and resolve issues Participate in sprint planning and team discussions to improve our products and processes Support ongoing improvements to application performance, security, and reliability Skills & Experience Required: Python Django (or equivalent web framework) REST API development (preferably with Django) JavaScript HTML & CSS RDBMS experience Git Linux Highly Desirable Experience with PostgreSQL Exposure to Android and/or iOS development Experience with automated testing tools (e.g., PyTest, Selenium, etc.) Interest in IoT systems or high-throughput data pipelines About You Strong attention to detail Reliable, enthusiastic, and eager to learn Comfortable working collaboratively as part of a team Excellent written and verbal communication skills Proactive, curious, and motivated to develop your technical capabilities How to Apply If you have the required skills and are looking to take the next step in your career, simply ‘Apply for this job’ via SEEK and attach a copy of your cover letter and resume. No Agency Submissions Daelibs does not accept unsolicited résumés or applications from recruitment agencies. Please do not forward candidates, profiles, or contact our team regarding this role. Any unsolicited submissions will be considered the property of Daelibs, and no fees will be payable. Daelibs has a commitment to indigenous employment, and encourages Aboriginal and Torres Strait Islander applicants to apply for positions advertised.",,,https://www.seek.com.au/job/89013619?type=standard&ref=search-standalone&origin=jobCard#sol=a7cf83e3796df575efb5d51a338db0cfc62920dd,700000-850000
N/A,Software Engineer,Helix Venture Studio Pty Ltd ,"Redfern, Sydney NSW","About the Business We are Helix Venture Studio Pty Ltd, a company that focuses heavily on accelerating growth today and scalability tomorrow. We bring capital, capability and advice in the right combination for the venture. Our offering is flexible and tailored to suit, targeting successful and meaningful tech start-ups that are well on their way towards take off. We are currently expanding and seeking a suitably qualified and experienced Software Engineer to join our team in Redfern NSW. Website: https://www.helixcollective.com/ About the Role The successful applicant will be responsible for: Researching, consulting, analysing and evaluating system program requirements to determine effective software solutions. Identifying technology limitations and deficiencies in existing systems, including associated processes, procedures and operational methods. Testing, debugging, diagnosing and correcting errors and faults in applications or program code within established testing protocols, guidelines and quality standards to ensure optimal performance and compliance with specifications. Writing and maintaining program code in accordance with system requirements, technical designs and accredited quality standards. Developing, updating and maintaining technical documentation, including program specifications, end-user guides and operational procedures. Providing specialist advice and guidance in developing proposals and strategies for software design activities, including financial evaluations, cost analyses and recommendations for software purchases or system upgrades. Skills & Qualifications Required To be considered for this role, applicants must have: Mandatory Requirements: A Bachelor’s Degree or higher qualification in Computer Science, Software Engineering, or a related field. At least 3 years of commercial experience coding in Java, TypeScript, Node OR React A deep understanding of the start-up world An out of the box thinker that thrives in turning problems into solutions Likes working in a fast-paced high-tech focused environment where lust for software and adventure is constantly ticking your brain If you are more backend or frontend focused is fine, as long as you have a keen knack for the full-stack world and willing to pick up and learn both end-to-end What We Offer Expected Salary Range: 125k - 135k + Super (dependent on experience/capability) + Superannuation + Bonus This is a Full-Time Permanent position, based in Sydney, NSW (Redfern) Thursday team (fully paid for) lunches Pizza Fridays!! Bi-Weekly Social Activities (board games night, dinner, movie night, arcade, etc.) A uniting team all with the common cause of building unique products/platforms and taking great ownership Working with the latest tools and technologies in the game with some of the brightest and friendliest Engineers/Designers around How To Apply If you think you have what it takes to be a “Helixer”, then please APPLY now or get in touch with me (Nima) at nima@helixcollective.com and I would be more than happy to have a friendly chat. At the end of the day, everything starts with a conversation!",, nima@helixcollective.com,https://www.seek.com.au/job/89056134?type=standard&ref=search-standalone&origin=jobCard#sol=101e0ff573a8ea515cda247a28b5cb814d62ee14,125000 – 135000
N/A,Software Engineer,Microsoft ,Sydney NSW,"Overview Are you passionate about building world-class web experiences that make complex cloud-native technologies simple and intuitive? Do you want to be at the forefront of Kubernetes innovation and shape how developers and platform teams use Azure every day? We are the Azure Portal Cloud Native Experiences team, and we’re looking for talented engineers to join us in creating the next generation of developer and operator experiences in Azure. Our team owns the portal experiences for Azure Kubernetes Service (AKS), Azure Kubernetes Fleet Manager, and AKS Automatic, empowering customers to easily build, manage, and scale Kubernetes clusters across environments and regions. We also design and deliver skills and tools for Copilot in Azure and GitHub Copilot, bringing AI-powered automation, intelligent recommendations, and actionable insights directly into the customer workflow. By blending powerful cloud-native capabilities with seamless user experience (UX), we help customers accelerate innovation, optimize workloads, and operate Kubernetes with confidence. Azure Portal Cloud Native Experiences are used by customers worldwide, powering some of the largest workloads on Azure. If you’re excited to push the boundaries of cloud UX, shape the future of Kubernetes at scale, and build experiences that impact millions of users, this is the team for you. Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond. Responsibilities Works with appropriate stakeholders to determine user requirements for a feature. - Supports identification of dependencies, and the development of design documents for a product feature with oversight. With guidance, learns to create and implement code for a product, service, or feature reusing code as applicable. Assists and learns about breaking down work items into tasks and provides estimation. Acts as a Designated Responsible Individual (DRI) in monitoring system/product feature/service for degradation, downtime, or interruptions for simple problems, and recommends actions to restore system/product/service by following the playbook. Reviews current developments and proactively seeks new knowledge that will improve the availability, reliability, efficiency, observability, and performance of products while also driving consistency in monitoring and operations at scale. Qualifications Required Qualifications: Bachelor's Degree in Computer Science, or related technical discipline with proven experience coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python OR equivalent experience. Professional web development experience. Expertise with the latest techniques building web apps and services using HTML5, CSS, JavaScript, Knockout, React & Redux. Experience with frameworks like Knockout.js, TypeScript & React, and technologies like JSON, AJAX, and Git. Dedication and passion for scenario/unit testing; we use Jenkins, Selenium, and Mocha/Chai at cloud-scale. Other Requirements: Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud Background Check upon hire/transfer and every two years thereafter. Preferred Qualifications: Proficiency building engaging user experiences. A goal to work on a state of the art product and take on interesting problems every single day. Knowledge and hands-on experience with Kubernetes and multi-cluster/multi-scale Kubernetes management. Experience with AI/ML systems and familiarity with building or integrating solutions using large language models (LLMs). Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.  We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form. Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.   #azurecorejobs This position will be open for a minimum of 5 days, with applications accepted on an ongoing basis until the position is filled. Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance with religious accommodations and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",,,,
N/A,[Test Job] Junior Software Engineer (Python / Flask / SQL),,,"We are hiring a Junior Software Engineer. You will build internal web tools using Python, Flask, HTML, CSS, and JavaScript with Bootstrap and AJAX. You will work with SQL and database design, using SQLAlchemy and Git/GitHub for version control. Experience with Oracle Service Cloud and Oracle Integration Cloud is highly valued. You will write basic tests and support software testing. This role suits a junior developer with strong fundamentals in web development and databases.",Open to candidates with valid work rights in Australia. No clearance required.,,,
